date,United States,Australia,Austria,Belgium,Brazil,Canada,Chile,China,Colombia,Czech Republic,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,India,Indonesia,Ireland,Israel,Italy,Japan,Korea,Latvia,Lithuania,Luxembourg,Mexico,Netherlands,New Zealand,Norway,Poland,Portugal,Russia,Slovak Republic,Slovenia,South Africa,Spain,Sweden,Switzerland,Turkey,United Kingdom
1960,137,90,74,,,112,,,,,,,57,67,,,,57,,,43,,,30,,,,,,,,,,,,,,,15,,161,,81
1961,144,,82,,,122,,,,,,,62,,,,,58,,,44,,,39,,,,,,,,,,,,,,,18,,162,,85
1962,152,,86,,,130,,,,,,,67,,,,,67,,,49,,,45,,,,,,,,,,,,,,,21,,166,,86
1963,163,107,93,,,140,,,,,,,73,,,,,75,,,53,,,53,,,,,,,,,,,,,,,26,,169,,93
1964,178,,97,,,149,,,,,,,84,,,,,87,,,55,,,54,,,,,,,,,,,,,,,32,,178,,98
1965,191,,100,,,163,,,,,,,97,114,,,,94,,,61,,,73,,,,,,,,,,,,,,,39,,193,,103
1966,210,128,117,,,176,,,,,,,108,,,,,107,,,70,,,85,,,,,,,,,,,,,,,46,,221,,111
1967,234,,131,,,193,,,,,,,120,,,,,118,,,83,,,98,,,,,,,,,,,,,,,54,,244,,120
1968,263,,144,,,219,,,,,,,135,,,,,159,,,88,,,115,,,,,,,,,,,,,,,61,,269,,131
1969,292,165,161,,,246,,,,,,,153,,,,,143,,,103,,,134,,,,,,,,,,,,,,,75,,303,,138
1970,327,,187,152,,287,,,,,,,167,192,259,,,177,,,118,,,142,17,,,,,,198,133,,45,,,,,89,,346,,150
1971,358,223,202,169,,324,,,,,365,,190,,303,,,228,,,150,,,159,16,,,,,,214,156,,55,,,,,110,,393,,164
1972,397,239,223,192,,348,,,,,398,,217,,345,,,244,,,166,,,180,16,,,,,282,235,185,,76,,,,,130,,417,,181
1973,439,264,249,229,,369,,,,,422,,236,,397,,,248,,,184,,,197,17,,,,,314,265,209,,97,,,,,143,,456,,200
1974,495,322,295,263,,403,,,,,495,,261,,470,,,322,,,223,,,230,17,,,,,366,333,236,,112,,,,,177,,536,,244
1975,561,402,413,352,,474,,,,,548,,316,363,557,,,378,,,256,,,281,29,,,,,420,402,292,,155,,,,,201,,619,45,273
1976,639,430,472,407,,522,,,,,604,,354,,621,,,392,,,264,,,306,35,,,,,456,391,333,,164,,,,,241,,671,40,298
1977,727,473,522,470,,566,,,,,637,,388,,677,,,445,,,285,358,,344,38,,,,,498,404,382,,162,,,,,273,,731,51,319
1978,809,510,581,532,,620,,,,,704,,422,,755,,,539,,,339,434,,397,48,,,,,552,482,464,,182,,,,,295,,787,60,354
1979,909,554,661,588,,678,,,,,799,,477,,835,,,685,,,393,528,,459,73,,,,,621,480,478,,201,,,,,313,,884,66,395
1980,1037,615,743,646,,766,,,,,862,,539,650,943,,,724,,,482,580,,545,84,,,,,699,482,527,,265,,,,,352,,1009,70,450
1981,1193,697,694,751,,882,,,,,957,,607,,1073,,,834,,,509,635,,623,100,,,,,764,533,587,,306,,,,,391,,1125,86,513
1982,1331,731,749,831,,994,,,,,1061,,671,,1113,,,935,,,536,682,,696,113,,,,,825,594,646,,334,,,,,426,,1196,77,539
1983,1453,773,780,888,,1074,,,,,1105,,726,,1178,,,1029,,,554,767,,752,127,,,,,872,623,718,,327,,,,,462,,1312,83,608
1984,1592,817,815,920,,1150,,,,,1128,,777,,1277,,,1035,,,582,958,,784,136,,,,,889,647,740,,339,,,,,468,,1348,87,632
1985,1737,881,881,972,,1233,,,,,1207,,878,1005,1375,,,1133,,,619,753,,863,151,,,,,936,611,804,,389,,,,,481,1153,1436,64,663
